car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
maruti swift dzire,2014,diesel,57173,505199,hyderabad,sedan,manual,vdi bs iv,True,hyderabad,telangana,True,ts11,maruti,swift dzire,1,Unknown,great,True
hyundai i10,2011,petrol,72167,307999,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap24,hyundai,i10,3,Unknown,great,True
maruti wagon r 1.0,2011,petrol,61753,318199,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap11,maruti,wagon r 1.0,2,318299.0,good,True
hyundai i10,2008,petrol,63040,233299,hyderabad,hatchback,manual,era,True,hyderabad,telangana,True,ap10,hyundai,i10,2,280920.0,great,True
volkswagen ameo,2016,petrol,42970,516899,hyderabad,sedan,manual,highline 1.2,True,bhimavaram,andhra pradesh,True,ap31,volkswagen,ameo,2,591983.0,great,True
volkswagen vento,2011,petrol,64456,350199,hyderabad,sedan,manual,highline petrol,True,hyderabad,telangana,True,ap09,volkswagen,vento,2,350299.0,good,True
maruti swift dzire,2016,diesel,41808,645399,hyderabad,sedan,automatic,zdi amt,True,hyderabad,telangana,True,ts09,maruti,swift dzire,1,Unknown,great,True
hyundai i10,2009,petrol,67271,261599,hyderabad,hatchback,manual,era 1.1 irde,True,hyderabad,telangana,True,ap09,hyundai,i10,2,298016.0,good,True
maruti alto 800,2018,petrol,33555,329599,hyderabad,hatchback,manual,lxi opt,True,hyderabad,telangana,True,ts08,maruti,alto 800,1,394532.0,great,True
maruti wagon r 1.0,2010,petrol,65249,301699,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap13,maruti,wagon r 1.0,1,324081.0,good,True
maruti alto k10,2011,petrol,72976,222699,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap09,maruti,alto k10,2,226299.0,good,True
renault kwid,2016,petrol,47683,302499,hyderabad,hatchback,manual,rxt opt,True,hyderabad,telangana,True,ts08,renault,kwid,1,313099.0,great,True
maruti alto,2009,petrol,60541,190099,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap13,maruti,alto,2,219404.0,good,True
honda city,2017,petrol,33960,926399,hyderabad,sedan,automatic,zx cvt,True,hyderabad,telangana,True,ts07,honda,city,1,937605.0,great,True
maruti swift,2013,petrol,64034,417999,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap23,maruti,swift,2,436999.0,great,True
maruti zen estilo,2007,petrol,38721,168199,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap09,maruti,zen estilo,2,Unknown,good,True
honda brio,2013,petrol,62049,353799,hyderabad,hatchback,manual,1.2 s mt i vtec,True,vijayawada,andhra pradesh,True,ap16,honda,brio,1,354999.0,great,True
maruti ritz,2012,diesel,80522,321899,hyderabad,hatchback,manual,vdi,True,hyderabad,telangana,True,ap12,maruti,ritz,1,326999.0,great,True
volkswagen polo,2019,petrol,33610,586199,hyderabad,hatchback,Unknown,trendline 1.0 l petrol,True,hyderabad,telangana,True,ts12,volkswagen,polo,2,Unknown,great,True
hyundai santro xing,2007,petrol,65766,167999,hyderabad,hatchback,manual,xo erlx euro iii,True,hyderabad,telangana,True,ap29,hyundai,santro xing,1,Unknown,good,True
maruti alto 800,2013,petrol,80324,249899,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap28,maruti,alto 800,1,292220.0,great,True
maruti alto,2009,petrol,74051,190699,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap13,maruti,alto,2,Unknown,good,True
hyundai santro xing,2009,petrol & lpg,82748,196199,hyderabad,hatchback,manual,gls,True,hyderabad,telangana,True,ap29,hyundai,santro xing,2,Unknown,great,True
hyundai elite i20,2019,petrol,24171,764799,hyderabad,hatchback,manual,asta 1.2 (o),True,hyderabad,telangana,True,ts15,hyundai,elite i20,1,786075.0,great,True
maruti swift dzire,2015,petrol,61734,527399,hyderabad,sedan,manual,zxi 1.2 bs iv,True,hyderabad,telangana,True,ts10,maruti,swift dzire,1,535273.0,great,True
maruti alto,2010,petrol,68073,202299,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap29,maruti,alto,2,Unknown,great,True
hyundai santro xing,2009,petrol & lpg,71409,237699,hyderabad,hatchback,manual,gls lpg,True,hyderabad,telangana,True,ap29,hyundai,santro xing,2,287282.0,great,True
maruti wagon r 1.0,2010,petrol,75141,276299,hyderabad,hatchback,manual,lxi,True,vijayawada,andhra pradesh,True,ap16,maruti,wagon r 1.0,1,285099.0,great,True
honda jazz,2015,petrol,64403,521799,hyderabad,hatchback,automatic,1.2 v at,True,hyderabad,telangana,True,ts11,honda,jazz,2,617827.0,great,True
maruti eeco,2017,petrol & lpg,57417,362199,hyderabad,suv,manual,7 str,True,hyderabad,telangana,True,ts08,maruti,eeco,2,Unknown,great,True
maruti swift dzire,2016,diesel,58440,580099,hyderabad,sedan,manual,vdi bs iv,True,hyderabad,telangana,True,ts07,maruti,swift dzire,2,585599.0,great,True
nissan micra active,2016,petrol,62412,342799,hyderabad,hatchback,manual,xv s,True,kurnool,andhra pradesh,True,ap05,nissan,micra active,1,405660.0,great,True
volkswagen polo,2015,petrol,85957,429799,hyderabad,hatchback,manual,trendline 1.2l petrol,True,hyderabad,telangana,True,ts08,volkswagen,polo,2,429899.0,great,True
hyundai i10,2010,petrol,78839,259499,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap20,hyundai,i10,2,266499.0,great,True
hyundai i20,2010,petrol,53951,385099,hyderabad,hatchback,manual,sportz 1.2 o,True,hyderabad,telangana,True,ap09,hyundai,i20,2,395299.0,fair,True
hyundai creta,2019,diesel,16992,1533481,hyderabad,suv,Unknown,1.6 sx at crdi,True,tirupati,andhra pradesh,True,ap39,hyundai,creta,1,1573098.0,great,True
